publication_view.author;publication_view.publication_title;publication_view.publication_year
Adamenko, O.M., Adamenko, R.S., Gladilin, V.N., Grodetskaya, G.D., Levkovskaya, G.M., Pashkevich, G.A., Pospelova, G.A., Soldatenko, L.V., Shelkoplyas, V.N.;Paleoliticheskoe mestonakhozhdenie Korolevo v Zakarpat'e [Palaeolithic locality of Korolevo in Zakarpattia];1989;
Adams, B., Ringer, A.;New C14 Dates for the Hungarian Early Upper Palaeolithic;2004;
Adams, J.A.;Developing a Framework for Late Quaternary Human Paleoecology in Central Asia: 2003-2004 Investigations at Anghilak Cave, Uzbekistan;2006;
Adler D.S.;Late Middle Palaeolithic Patterns of Lithic Reduction, Mobility, and Land Use in the Southern Caucasus;2002;
Adler, D.S., Bar-Yosef, O., Belfer-Cohen, A., Tushabramishvili, N., Boaretto, E., Mercier, N., Valladas, H., Rink, W.J.;Dating the demise: Neandertal extinction and the establishment of modern humans in the southern Caucasus;2008;
Adler, D.S., Belfer-Cohen, A., Bar-Yosef, O.;Between a rock and a hard place: Neanderthal-modern human interactions in the southern Caucasus;2006;
Adler, D.S., Tushabramishvili, N.;Middle Palaeolithic Patterns of Settlement and Subsistence in the Southern Caucasus;2004;
Adler, D.S., Wilkinson, K., Blockley, S., Mark, D.F., Pinhasi, R., Schmidt-Magee, B.A., Nahapetyan, S., Mallol, C., Berna, F., Glauberman, P., Raczynski-Henk, Y., Wales, N., Frahm, E., Jöris, O., Macleod, A., Smith, V.C., Cullen, V.L., Gasparyan, B.;Early Levallois Technology and the Transition from the Lower to Middle Palaeolithic in the Southern Caucasus;2014;
Agadjanian, A.K., Kondrashov, P.;Late Pleistocene (Eemian) mollusk and small mammal fauna from Mikhailovka-5 (Kursk oblast, Central Russia);2020;
Agustí, J., Blain, H.-A., Lozano-Fernández, I., Piñero, P., Oms, O., Furió, M., Blanco, A., López-García, J.M., Sala, R.;Chronological and environmental context of the first hominin dispersal into Western Europe: The case of Barranco León (Guadix-Baza Basin, SE Spain);2015;
Agustí, J., Vekua, A., Oms, O., Lordkipanidze, D., Bukhsianidze, M., Kiladze, G., Rook, L.;The Plio-Pleistocene succession of Kvabebi (Georgia) and the background to the early human occupation of Southern Caucasus;2009;
Ahern, J.C.M., Karavanic, I., Paunovic, M., Jankovic, I., Smith, F.H.;New discoveries and interpretations of hominid fossils and artifacts from Vindija Cave, Croatia;2004;
Ahern, J.C.M., Smith, F.H.;Adolescent archaics or adult moderns? Le Moustier 1 as a model for estimating the age at death of fragmentary supraorbital fossils in the modern human origins debate;2004;
Aiello, G., Barra, D., Collina, C., Piperno, M., Guidi, A., Stanislao, C., Saracino, M., Donadio, C.;Geomorphological and paleoenvironmental evolution in the prehistoric framework of the coastland of Mondragone, southern Italy;2018;
Airvaux, J., Berthet, A.-L., Castel, J.-C.;Le gisement aurignacien de Chez-Pinaud 2, à Jonzac, Charente-Maritime;2003;
Aitken, M.J., Bussel, G.D.;Dating of Fallen Stalactites in Second Specialist Seminar on Thermoluminescence Dating;1982;
Akhilesh, K., Pappu, S., Rajapara, H.M., Gunnell, Y., Shukla, A.D., Singhvi, A.K.;Early Middle Palaeolithic culture in India around 385-172 ka reframes Out of Africa models;2018;
Akimova, E.V.;Problemy izucheniya i interpretatsii paleolita Ust'-Kovy [The issues of studying and interpretation of Paleolithic of the Ust'-Kova site];2021;
Akimova, E.V., Kuksa, E.N., Stasyuk, I.V., Tomilova, E.A., Kharevich, V.M., Motuzko, A.N.;Poslednie raskopki paleoliticheskoi stoyanki Ust'-Kova v Severnom Priangar'e [The last excavations of the Late Palaeolithic site Ust'-Kova in the Northern Angara region];2014;
Akimova, E.V., Stasyuk, I.V., Kharevich, V.M., Motuzko, A.N., Laukhin, S.A.;Pozdenpaleoliticheskaya stoyanka Pokrovka II (Krasnoyarskoe vodokhranilishche): mesto nakhodki skeletnykh ostatkov Homo sapiens [Late Palaeolithic site of Pokrovka II (Krasnoyarsk Reservoir): Place of discovery of skeletal remains of Homo sapiens];2015;
Aksenov, M.P.;Doneoliticheskoe mestonakhozhdeniya verkhnei Leny [Pre-Neolithic localities of Upper Lena];1993;
Aksenov, M.P.;Paleolit i mezolit Verkhnei Leny [Palaeolithic and Mesolithic of the Upper Lena];2009;
Alaux, J.-F.;Note préliminaire: sur l'abri périgordien des Battuts (Tarn);1969;
Albert, R.M., Bar-Yosef, O., Meignen, L., Weiner, S.;Quantitative Phytolith Study of Hearths from the Natufian and Middle Paleolithic Levels of Hayonim Cave (Gallilee, Israel);2003;
Albert, R.M., Berna, F., Goldberg, P.;Insights on Neanderthal fire use at Kebara Cave (Israel) through high resolution study of prehistoric combustion features: Evidence from phytoliths and thin sections;2012;
Albianelli, A., Napoleone, G.;Magnetostratigraphy of the Homo-bearing Pleistocene Dandiero Basin (Danakil Depression, Eritrea);2004;
Albrecht, G.;An Upper Paleolithic sequence from Antalya in Southern Turkey. Results of the 1985 cave excavations in Karain B;1988;
Albrecht, G.;Preliminary results of the excavation in the Karain B cave near Antalya/Turkey. The Upper Paleolithic assemblages and the Upper Pleistocene climatic development;1988;
Albrecht, G., Müller-Beck, H.;The Palaeolithic of Sehremuz near Samsat on the Euphrates River. Summary of the Excavation Findings and a Morphology of the Handaxes;1988;
Alcalde Olivares, C.;Estudio de la macroflora en yacimientos del Neogeno y Pleistoceno inferior del noroeste peninsular: significacion paleoclimatica;2012;
Alciati, G., Delfino, V.P., Vacca, E.;Catalogue of Italian Fossil Human Remains from the Palaeolithic to the Mesolithic;2005;
Aldeias, V., Goldberg, P., Sandgathe, D., Berna, F., Dibble, H.L., McPherron, S.P., Turq, A., Rezek, Z.;Evidence for Neandertal use of fire at Roc de Marsal (France);2012;
Aldhouse-Green, S.;Artefacts of ivory, bone and shell from Paviland;2000;
Aldhouse-Green, S., Beins, R.E., Jackson, H., Peterson, R., Walker, E.;Pontnewydd Cave: the Characterisation, Petrology, Taphonomy and Interpretation of the Archaeological Finds;2012;
Aldhouse-Green, S., Peterson, R.;The Excavations at Pontnewydd Cave;2012;
Alemseged, Z., Coppens, Y., Geraads, D.;Hominid Cranium From Omo: Description and Taxonomy of Omo-323-1976-896;2002;
Alemseged, Z., Spoor, F., Kimbel, W.H., Bobe, R., Geraads, D., Reed, D.W., Jonathan, G.;A juvenile early hominin skeleton from Dikika, Ethiopia;2006;
Alemseged, Z., Wynn, J.G., Kimbel, W.H., Reed, D., Geraads, D., Bobe, R.;A new hominin from the Basal Member of the Hadar Formation, Dikika, Ethiopia, and its geological context;2005;
Alex, B., Mihailović, D., Milošević, S., Boaretto, E.;Radiocarbon chronology of Middle and Upper Paleolithic sites in Serbia, Central Balkans;2019;
Alex, B., Valde-Nowak, P., Regev, L., Boaretto, E.;Late Middle Paleolithic of Southern Poland: Radiocarbon dates from Ciemna and Obłazowa Caves;2017;
Alladio, A.;Étude de l’industrie lithique des niveaux Moustériens du site de La Crouzade (Gruissan, Aude);2018;
Allard, M.;Le Solutréen de Thorigné-en-Charnie et de Saint-Pierre-sur-Erve (Mayenne);1985;
Allard, M.;Le gisement aurignacien de Gohaud à Saint-Michel-Chef-Chef (Loire-Atlantique). I. Etude archéologique;1978;
Allard, M.;Sur quelques objets paléolithiques en os du Musée de Laval et le Magdalénien de la vallée de l'Erve en Mayenne;1976;
Allard, M.;État de la question sur le Paléolithique supérieur en Mayenne. Les grottes de Thorigné-en-Charnie et de Saint-Pierre-sur-Erve;1983;
Allen, J., Huntley, B.;The high Resolution Paleoenvironmental Record of the Last 101,800 Years from Lago Grande di Monticchio, Italy;1999;
Allen, J., Watts, W., McGee, E., Huntley, B.;Holocene environmental variability—the record from Lago Grande di Monticchio, Italy;2002;
Allen, J.R., Huntley, B.;Last Interglacial palaeovegetation, palaeoenvironments and chronology: a new record from Lago Grande di Monticchio, southern Italy;2009;
Allen, J.R., Watts, W.A., Huntley, B.;Weichselian palynostratigraphy, palaeovegetation and palaeoenvironment; the record from Lago Grande di Monticchio, southern Italy;2000;
Allott, L.F.;Archaeological charcoal as a window on palaeovegetation and wood-use during the Middle Stone Age at Sibudu Cave;2006;
Almeida, F., Moreno-García, M., Angelucci, D.E.;From under the bulldozer’s claws: the EE15 Late Gravettian occupation surface of the Lagar Velho rock-shelter;2009;
Alonso, D.A., Gomez-Olivencia, A., San Pedro-Calleja, Z.;La fauna de macromamiferos de los niveles pleistocenos de la cueva de Arlanpe (Lemoa, Bizkaia);2013;
Alt, K., Kaulich, B., Reisch, L., Vogel, H., Rosendahl, W.;The Neanderthalian molar from Hunas, Germany;2006;
Altolaguirre, Y., Postigo-Mijarra, J.M., Barrón, E., Carrión, J.S., Leroy, S.A.G., Bruch, A.A.;An environmental scenario for the earliest hominins in the Iberian Peninsula: Early Pleistocene palaeovegetation and palaeoclimate;2019;
Amani, F., Geraads, D.;Le gisement mousterien du Djebel Irhoud, Maroc: Precisions sur la faune et la paleoecologie;1998;
Ambert, P., Guendon, J.-L., Galant, P., Quinif, Y., Gruneisen, A., Colomer, A., Dainat, D., Beaumes, B., Requirand, C.;Attribution des gravures paléolithiques de la grotte d'Aldène (Cesseras, Hérault) à l’Aurignacien par la datation des remplissages géologiques;2005;
Ambrose, S.H.;Chronology of the Later Stone Age and Food Production in East Africa;1998;
Ameloot-Van der Heijden, N.;Methodes d'Acquisition et Signification des Industries Lithiques au Paléolithique moyen: L'Exemple des Gisements de Plein Air du Nord de la France;1991;
Ameloot-van der Heijden, N.;L'ensemble lithique du gisement de Longavesnes (Somme): illustration d'un probleme de reconnaissance du debitage levallois dans une industrie a bifaces de la phase ancienne du paleolithique moyen;1993;
Ames, C.J.H., Gliganic, L., Cordova, C.E., Boyd, K., Jones, B.G., Maher, L., Collins, B.R.;Chronostratigraphy, Site Formation, and Palaeoenvironmental Context of Late Pleistocene and Holocene Occupations at Grassridge Rock Shelter (Eastern Cape, South Africa);2020;
Amiel, A., Ronen, A.;The Evron quarry: A contribution to the Quarternary stratigraphy;1974;
An, Z.;Discussion on the dates of some primitive cultures in China;1972;
Andersen, S.T.;Interglacial vegetational succession and lake development in Denmark;1966;
Andersen, S.T.;Interglacialer og interstadialer i Danmarks kvartær;1965;
Anderson, L.;Une enquête sur la variation lamellaire à la Tuto de Camalhot (Ariège);2013;
Anderson, L., Chesnaux, L., Rué, M., Picavet, R., Fernandes, P., Morala, A., Caux, S., Tallet, P., Caverne, J.-B., Kawalek, E.;Regards croisés sur la station aurignacienne de Brignol (Villeneuve-sur-Lot, Lot-et-Garonne, France): approches taphonomique, pétroarchéologique, technoéconomique et technofonctionnelle de l’industrie lithique;2016;
Anderson, L., Lejay, M., Brugal, J.-P., Costamagno, S., Heckel, C., de Araujo Igreja, M., Pradeau, J.-V., Salomon, H., Sellami, F., Théry-Parisot, I., Barshay-Szmidt, C., Mensan, R., Bon, F.;Insights into Aurignacian daily life and camp organization: The open-air site of Régismont-le-Haut;2018;
Anderson, L., Rué, M., Chesnaux, L., Fernandes, P., Picavet, R.;La station aurignacienne de Villeneuve-sur-Lot "Brignol" (Lot-et-Garonne, France), entre taphonomie et palethnologie;2019;
Andreev, A.A., Morozova, E., Fedorov, G., Schirrmeister, L., Bobrov, A.A., Kienast, F., Schwamborn, G.;Vegetation history of Central Chukotka deduced from permafrost paleoenvironmental records of the El'gygytgyn Impact Crater;2012;
Andreeva, M.P., Belayeva, V.I., N., P.G.;Skrebki verkhnepaleoliticheskoi stoyanki Pushkari 1 (tekhniko-tipologicheskii i trasologicheskii analiz) [Scrapers of the Upper Palaeolithic site of Pushkari 1 (techno-typological and traceological analyses)];2014;
Andrews, P., Jalvo, Y.F.;Surface modifications of the Sima de los Huesos fossil humans;1997;
Andrič, M.;Does pollen record in archaeological 'cultural layer' tell us what vegetation was growing around the settlement? Case study: 'Resnikov prekop';2006;
Angel, J.L.;A Middle Palaeolithic temporal bone from Darra-i-Kur, Afghanistan;1972;
Angelucci, D.E., Zambaldi, M., Tessari, U., Vaccaro, C., Arnaud, J., Berruti, G.L.F., Daffara, S., Arzarello, M.;New insights on the Monte Fenera Palaeolithic, Italy: Geoarchaeology of the Ciota Ciara cave;2019;
Angelucci, D.E., Zilhão, J.;Stratigraphy and Formation Processes of the Upper Pleistocene Deposit at Gruta da Oliveira, Almonda Karstic System, Torres Novas, Portugal;2009;
Anoikin A.A., P.G.D., Kharevich V.M., Taimagambetov Zh.K., Shalagina A.V., Gladyshev S.A., Duvanbekov R.S., Shunkov M.V.;Ushbulak - novaya mnogosloinaya stoyanka verkhnego paleolita na severo-vostoke Kazakhstana [Ushbulak - a new stratified Upper Paleolithic site in Northeastern Kazakhstan];2019;
Anoikin, A.A.;Paleolit primorskogo Dagestana [Palaeolithic of the seaside Dagestan];2017;
Ansari, Z.D., Murty, M.L.K., Pappu, R.S.;The Acheulian Horizon at Chirki-Nevasa and its Chronological Implications;1976;
Antl-Weiser, W.;Grub/Kranawetberg and Ollersdorf/Heidenberg (Lower Austria) - two Gravettian camp sites in Eastern Austria;2008;
Antl-Weiser, W.;Paleolithic sites in the area of Stillfried/Lower Austria;2013;
Antl-Weiser, W.;Paläolithischer Schmuck von der Gravettienfundstelle Grub/Kranawetberg bei Stillfried, Niederösterreich;1999;
Antl-Weiser, W.;The anthropomorphic figurines from Willendorf;2008;
Antl-Weiser, W.;The inventories of archaeological horizons 4 and 3 and the loess section of Grub/Kranawetberg, a Gravettian site in Lower Austria;2013;
Antoine, P., Limondin-Lozouet, N., Auguste, P., Locht, J.-L., Galheb, B., Reyss, J.-L., Escude, É., Carbonel, P., Mercier, N., Bahain, J.-J., Falgueres, C., Voinchet, P.;Le tuf de Caours (Somme, France): mise en evidence d'une sequence eemienne et d'un site paleolithique associe;2006;
Antoine, P., Limondin-Lozouet, N., Chaussé, C., Lautridou, J.-P., Pastre, J.-F., Auguste, P., Bahain, J.-J., Falguères, C., Voinchet, P., Galheb, B.;Pleistocene fluvial terraces from northern France (Seine, Yonne, Somme): synthesis, and new results from interglacial deposits;2007;
Antoine, P., Moncel, M.-H., Limondin-Lozouet, N., Locht, J.-L., Bahain, J.-J., Moreno, D., Voinchet, P., Auguste, P., Stoetzel, E., Dabkowski, J., Bello, S.M., Parfitt, S.A., Tombret, O., Hardy, B.;Palaeoenvironment and dating of the Early Acheulean localities from the Somme River basin (Northern France): New discoveries from the High Terrace at Abbeville-Carrière Carpentier;2016;
Antoine, P., Moncel, M.-H., Voinchet, P., Locht, J.-L., Amselem, D., Hérisson, D., Hurel, A., Bahain, J.-J.;The earliest evidence of Acheulian occupation in Northwest Europe and the rediscovery of the Moulin Quignon site, Somme valley, France;2019;
Antoine, P., Moncel, M.H., Locht, J.L., Limondin-Lozouet, N., Auguste, P., Stoetzel, E., Dabkowski, J., Voinchet, P., Bahain, J.J., Falgueres, C.;Dating the earliest human occupation of Western Europe: New evidence from the fluvial terrace system of the Somme basin (Northern France);2015;
Antonosyan, M., Seersholm, F.V., Grealy, A.C., Barham, M., Werndly, D., Margaryan, A., Cieślik, A., Stafford, T.W., Allentoft, M.E., Bunce, M., Yepiskoposyan, L.;Ancient DNA shows high faunal diversity in the Lesser Caucasus during the Late Pleistocene;2019;
Antonova, Y.E., Tashak, V.I.;Kamennaya industriya Yugo-Vostochnogo kompleksa Podzvonkoi: obshchaya kharakteristika [Lithic industry of South-Eastern complex of Podzvonkaya: general characteristics];2016;
Antunes, M.T., Cardoso, J.;Gruta Nova da Columbeira, Gruta das Salemas and Gruta da Figueira Brava: Stratigraphy, and Chronology of the Pleistocene Deposits;2000;
Anzidei, A.P.;Tools from elephant bones at La Polledrara di Cecanibbio and Rebibbia-Casal de' Pazzi;2001;
Anzidei, A.P., Angelelli, L., Arnoldus Huizendveld, A., Caloi, L., Palombo, M.R., Segre, G.;Le gisement pléistocène de La Polledrara di Cecanibbio (Rome, Italie);1989;
Anzidei, A.P., Arnoldus-Huyzendveld, A., Caloi, L., Lemorini, C., Palombo, M.R.;Two Middle Pleistocene Sites near Rome (Italy): La Polledrara di Cecanibbio and Rebibbia - Casal de'Pazzi;1999;
Anzidei, A.P., Bietti, A., Cassoli, P., Ruffo, M., Segre, A.G.;Risultati preliminari dello scavo in un deposito pleistocenico in località Rebibbia - Casal de' Pazzi (Roma);1984;
Anzidei, A.P., Gioia, P.;The lithic industry from Rebibbia-Casal de' Pazzi;1992;
Anzidel, A.P., Bulgarelli, G.M., Catalano, P., Cerilli, E., Gallotti, R., Lemorini, C., Milli, S., Palombo, M.R., Pantano, W., Santucci, E.;Ongoing research at the late Middle Pleistocene site of La Polledrara di Cecanibbio (central Italy), with emphasis on human-elephant relationships;2012;
Ao, H., Liu, C.-R., Roberts, A.P., Zhang, P., Xu, X.;An updated age for the Xujiayao hominin from the Nihewan Basin, North China: Implications for Middle Pleistocene human evolution in East Asia;2017;
Aouadi-Abdeljaouad, N., Belhouchet, L.;Middle Stone Age in Tunisia. Present Status of Knowledge and Recent Advances;2012;
Aouadi-Abdeljaouad, N., Belhouchet, L.;Recent Prehistoric Field Research in Central Tunisia. Prehistoric Occupations in the Meknassy Basin;2008;
App, V., Hahn, J., Pasda, C., Stephan, E., Baales, M., Bibus, E., Rähle, W., Rottländer, R.C.A., Schoch, W., Steppan, K.-H.;Die altsteinzeitliche Fundstelle auf dem Schwalbenberg bei Remagen;1995;
Arambourg, C.;A recent discovery in human Paleontology: Atlanthropus of Ternifine (Algeria);1955;
Arambourg, C.;Les Vertébrés Villafranchiens d'Afrique du Nord;1979;
Arambourg, C.;Les Vertébrés du Pléistocène de l'Afrique du Nord;1970;
Arambourg, C., Biberson, P.;The fossil human remains from the Paleolithic site of Sidi Abderrahman (Morocco);1956;
Arambourg, C., Coque, R.;Le gisement villafranchien de l'Ain Brimba (Sud-Tunisien) et sa faune;1958;
Aranburu, A., Arsuaga, J.L., Sala, N.;The stratigraphy of the Sima de los Huesos (Atapuerca, Spain) and implications for the origin of the fossil hominin accumulation;2017;
Aranguren, B., Becattini, R., Mariotti Lippi, M., Revedin, A.;Grinding flour in Upper Palaeolithic Europe (25000 years bp);2007;
Aranguren, B., Cavulli, F., D'Orazio, M., Grimaldi, S., Longo, L., Revedin, A., Santaniello, F.;Territorial exploitation in the Tyrrhenian Gravettian Italy: The case-study of Bilancino (Tuscany);2015;
Aranguren, B., Grimaldi, S., Benvenuti, M., Capalbo, C., Cavanna, F., Cavulli, F., Ciani, F., Comencini, G., Giuliani, C., Grandinetti, G., Mariotti Lippi, M., Masini, F., Mazza, P.P.A., Pallecchi, P., Santaniello, F., Savorelli, A., Revedin, A.;Poggetti Vecchi (Tuscany, Italy): A late Middle Pleistocene case of human-elephant interaction;2019;
Aranguren, B., Revedin, A.;Il ciottolo inciso e utilizzato dall'insediamento gravettiano di Bilancino e i "ciottoli a cuppelle" in Italia;1997;
Aranguren, B., Revedin, A.;Interprétation fonctionnelle d'un site gravettien à burins de Noailles;2001;
Aranguren, B., Revedin, A.;Un accampamento di 30.000 anni fa a Bilancino (Mugello, Firenze);2008;
Aranguren, B., Revedin, A., Amico, N., Cavulli, F., Giachi, G., Grimaldi, S., Macchioni, N., Santaniello, F.;Wooden tools and fire technology in the early Neanderthal site of Poggetti Vecchi (Italy);2018;
Aranguren, B., Revedin, A., Sozzi, M., Vannucci, S., Vannucci, M.L.;First results on provisioning sources of siliceous raw materials from the Gravettian site of Bilancino (Florence, Italy);2004;
Arellano, A.;Les grands mammifères des niveaux moustériens de l’Abri Mochi (Grotte de Grimaldi, Ventimille, Italie). Fouilles de 1949;2009;
Arellano, A., Moullé, P.-E., Lacombat, F.;Les faunes quaternaires des grottes de Grimaldi;2009;
Arensburg, B., Bar-Yosef, O., Gophna, R., Mintz, E., Phillips, J.L., Rak, Y., Ronen, A., Tchernov, E., Vogel, J.C., Weinstein, M.;The Quaternary of Israel;1979;
Arif, J., Kaifu, Y., Baba, H., Suparka, M.E., Zaim, Y., Setoguchi, T.;Preliminary Observation of a New Cranium of Homo erectus (Tjg-1993.05) from Sangiran, Central Jawa;1982;
Armand, D.;Abri castanet (Dordogne, Grance): an aurignacian site with bear procurement. Bear exploitation in paleolithic time;2006;
Armand, D.;La faune de la grotte Bourgeois-Delaunay (commune de La Chaise de Vouthon, Charente). Resultats preliminaires;1998;
Armand, D., Delagnes, A.;Les retouchoirs en os d'Artenac (couche 6c): perspectives archéozoologiques, taphonomiques et expérimentales;1998;
Armitage, S.J., Jasim, S.A., Marks, A.E., Parker, A.G., Usik, V.I., Uerpmann, H.-P.;The Southern Route Out of Africa: Evidence for an Early Expansion of Modern Humans into Arabia;2011;
Armstrong, A.L.;Rhodesian Archaeological Expedition (1929): Excavations in Bambata Cave and Researches on Prehistoric Sites in Southern Rhodesia;1931;
Arnaud, J., Peretto, C., Panetta, D., Tripodi, M., Fontana, F., Arzarello, M., Thun Hohenstein, U., Berto, C., Sala, B., Oxilia, G., Salvadori, P.A., Benazzi, S.;A reexamination of the Middle Paleolithic human remains from Riparo Tagliente, Italy;2016;
Arnold, L.J., Demuro, M., Parés, J.M., Peréz-González, A., Arsuaga, J.L., Bermúdez de Castro, J.M., Carbonell, E.;Evaluating the suitability of extended-range luminescence dating techniques over early and Middle Pleistocene timescales: Published datasets and case studies from Atapuerca, Spain;1996;
Arnold, V.;Neue Funde aus der Steinzeit Dithmarschens;1979;
Arobba, D.;Analisi palinologiche delle stalagmiti della Grotta della Bàsura (Toirano, Liguria): primi risultati;1985;
Arobba, D., Boscato, P., Boschian, G., Falgueres, C., Fasani, L., PerettoBenedetto, C., Ursula, S., Hohenstein, T., Tozzi, C.;Paleoenvironmental analysis;2004;
Arribas, A., Palmqvist, P.;Taphonomy and Palaeoecology of an Assemblage of large mammals: Hyaenid activity in the lower Pleistocene site at Venta Micena (Orce, Guadix-Baza Basin, Granada, Spain);1998;
Arrighi, S., Borgia, V., d'Errico, F., Ricci, S., Ronchitelli, A.;Manifestazioni d'arte inedite e analisi tecnologica dell'arte mobiliare di Grotta Paglicci (Rignano Garganico - Foggia);2012;
Arrighi, S., Borgia, V., d'Errico, F., Ronchitelli, A.;I ciottoli decorati di Paglicci: raffigurazioni e utilizzo;2008;
Arrighi, S., Freguglia, M., Ranaldo, F., Ronchitelli, A.;Production and use in the Lithic Industry of the Mousterian in Santa Croce (Bisceglie, Italy);2009;
Arrighi, S., Moroni, A., Tassoni, L., Boschin, F., Badino, F., Bortolini, E., Boscato, P., Crezzini, J., Figus, C., Forte, M., Lugli, F., Marciani, G., Oxilia, G., Negrino, F., Riel-Salvatore, J., Romandini, M., Peresani, M., Spinapolice, E.E., Ronchitelli, A., Benazzi, S.;Bone tools, ornaments and other unusual objects during the Middle to Upper Palaeolithic transition in Italy;2020;
Arrizabalaga, A., Altuna, J., Areso, P., Fagueres, C., Iriarte, M.J., Mariezkurrena, K., Peman, E., Ruiz-Alonso, M., Tarrino, A., Uriz, A., Vallverdu, J.;Retorno a Lezetxiki (Arrasate, Pais Vasco): Nuevas perspectivas de la investigacion;2004;
Arsebük, G., Özbaşaran, M.;Pleistocene archaeology at the Cave of Yarimburgaz in Eastern Thrace/Turkey: preliminary results;1999;
Arslanov, K.A., Svezhentsev, Y.S.;An improved method for radiocarbon dating fossil bones;1993;
Arsuaga, J.L., Baquedano, E., Pérez-González, A., Sala, N., Quam, R.M., Rodríguez, L., García, R., García, N., Álvarez-Lao, D.J., Laplana, C., Huguet, R., Sevilla, P., Maldonado, E., Blain, H.-A., Ruiz-Zapata, M.B., Sala, P., Gil-García, M.J., Uzquiano, P., Pantoja, A., Márquez, B.;Understanding the ancient habitats of the last-interglacial (late MIS 5) Neanderthals of central Iberia: Paleoenvironmental and taphonomic evidence from the Cueva del Camino (Spain) site;2012;
Arsuaga, J.L., Carretero, J.M., Martínez, I., Gracia, A.;Cranial remains and long bones from Atapuerca/Ibeas (Spain);1991;
Arsuaga, J.L., Gracia, A., Martínez, I., Bermúdez de Castro, J.M., Rosas, A., Villaverde, V., Fumanal, M.P.;The human remains from Cova Negra (Valencia, Spain) and their place in European Pleistocene human evolution;1989;
Arsuaga, J.L., Martínez, I., Lorenzo, C., Gracia, A.;The human cranial remains from Gran Dolina Lower Pleistocene site (Sierra de Atapuerca, Spain);1999;
Arsuaga, J.L., Martı́nez, I., Gracia, A., Carretero, J.M., Lorenzo, C., Garcı́a, N., Ortega, A.I.;Sima de los Huesos (Sierra de Atapuerca, Spain). The site;1997;
Arsuaga, J.L., Márques, B., Gracia, A., Lorenzo, C.;The Sima de los Huesos crania (Sierrade Atapuerca, Spain). A comparative study;1997;
Arsuaga, J.L., Peris, J.F., Gracia-Téllez, A., Quam, R., Carretero, J.M., González, V.B., Blasco, R., Cuartero, F., Sañudo, P.;Fossil human remains from Bolomor Cave (Valencia, Spain);2012;
Arsuaga, J.L., Villaverde, V., Quam, R., Martínez, I., Carretero, J.M., Lorenzo, C., Gracia, A.;New Neandertal remains from Cova Negra (Valencia, Spain);2007;
Arzarello, M., Daffara, S., Berruti, G., Berté, D., Berto, C., Gambari, F.M., Peretto, C.;The Mousterian settlement in the ciota ciara cave: the oldest evidence of homo neanderthalensis in piedmont (Northern Italy);2012;
Arzarello, M., Marcolini, F., Pavia, G., Pavia, M., Petronio, C., Petrucci, M., Rook, L., Sardella, R.;Evidence of earliest human occurrence in Europe: the site of Pirro Nord (Southern Italy);2007;
Arzarello, M., Marcolini, F., Pavia, G., Pavia, M., Petronio, C., Petrucci, M., Rook, L., Sardella, R.;L'industrie lithique du site Pléistocène inférieur de Pirro Nord (Apricena, Italie du sud) : une occupation humaine entre 1,3 et 1,7 Ma;2009;
Arzarello, M., Pavia, G., Peretto, C., Petronio, C., Sardella, R.;Evidence of an Early Pleistocene hominin presence at Pirro Nord (Apricena, Foggia, southern Italy): P13 site;2012;
