publication_view.idpublication;publication_view.publication_year;publication_view.source_title;
229;1995;Palaeogeography, Palaeoclimatology, Palaeoecology;
230;1978;Science;
231;2001;Annals of the Transvaal Museum;
232;1949;The South African Archaeological Bulletin;
233;1971;American Journal of Physical Anthropology;
234;2006;Archaeometry;
235;2009;Journal of Archaeological Science;
236;1957;The South African Archaeological Bulletin;
237;1969;The South African Archaeological Bulletin;
238;1990;The South African Archaeological Bulletin;
239;1981;Radiocarbon;
240;1999;Journal of Archaeological Science;
241;1998;Middle-Stone-Age-Fundstellen in Südwest-Namibia;
242;1978;Science;
243;1981;The Middle Stone Age in the Southern Cape;
244;1971;Nature;
245;1982;1er Congrès international de la paléontologie humaine;
246;1987;Later Stone Age Hunters and Gatherers of the Southern Transvaal: Social and ecological interpretation;
247;1991;The South African Archaeological Bulletin;
248;1992;The South African Archaeological Bulletin;
249;1993;Journal of World Prehistory;
250;1996;The South African Archaeological Bulletin;
251;2000;The South African Archaeological Bulletin;
252;2006;Southern African Humanities;
253;1980;The South African Archaeological Bulletin;
254;1980;The South African Archaeological Bulletin;
255;1991;Nature;
256;2002;The South African Archaeological Bulletin;
257;1978;Science;
260;1977;American Journal of Physical Anthropology;
261;1979;Nature;
262;2006;Nature;
263;1979;Man;
267;1989;Journal of Field Archaeology;
268;1998;Geobios;
269;2001;Journal of Human Evolution;
270;1994;Journal of Human Evolution;
271;2008;Journal of Archaeological Science;
273;2010;Journal of Human Evolution;
274;1980;World Archaeology;
275;1994;Journal of Human Evolution;
276;1993;Botswana Notes and Records;
277;1999;Journal of Human Evolution;
278;2009;L'Anthropologie;
279;1976;Annales d'Ethiopie;
280;1978;Bulletin de la Société Préhistorique Française;
281;1975;Bulletin de la Société Préhistorique Française;
282;2000;South African Journal of Science;
283;1999;African Archaeological Review;
284;1984;Nature;
285;2003;Nature;
286;1984;African Archaeological Review;
287;1954;American Anthropologist;
288;2003;Journal of Human Evolution;
289;1970;Annals of the Cape Provincial Museums;
290;1976;Where Hunters Gathered: A Study of Holocene Stone Age People in the Eastern Cape;
291;1988;The South African Archaeological Bulletin;
292;2010;Journal of Human Evolution;
293;2009;Journal of Archaeological Science;
294;2003;Journal of Archaeological Science;
295;2010;Journal of Human Evolution;
296;1994;Southern African Field Archaeology;
297;1990;Paleo;
298;1968;South African Journal of Science;
299;2008;Goodwin Series;
300;1951;Revue Economique;
301;1929;Annals of the South African Museum;
302;1935;Annals of the South African Museum;
304;2010;Journal of Archaeological Science;
305;1992;Journal of Human Evolution;
306;1971;American Anthropologist;
307;1978;Journal of Archaeological Science;
308;1986;Quaternary Research;
309;1968;The South African Archaeological Bulletin;
310;2010;Journal of Human Evolution;
311;1940;Occasional Papers of the National Museum of Southern Rhodesia;
312;1949;The Prehistory of Southern Rhodesia;
313;2001;Journal of Archaeological Science;
314;1982;Nature;
315;1990;Geoarchaeology;
316;1981;Annals of the Transvaal Museum;
317;1987;The South African Archaeological Bulletin;
318;2001;Nyame Akuma;
319;2007;Journal of Human Evolution;
320;1988;African Archaeological Review;
321;1994;Journal of Human Evolution;
323;1999;Journal of Archaeological Science;
324;2010;Journal of Human Evolution;
325;1971;Nature;
326;1972;World Archaeology;
327;2010;Journal of Human Evolution;
328;2006;Southern African Humanities;
329;2010;Journal of Archaeological Science;
330;2008;Journal of Archaeological Science;
331;2006;The South African Archaeological Bulletin;
332;1948;The South African Archaeological Bulletin;
333;1961;The South African Archaeological Bulletin;
334;1962;Prehistory of the Transvaal;
335;1966;Actas del V Congreso Panafricano de Prehistoria y de Estudio del Cuaternario;
337;2000;Journal of Human Evolution;
338;1996;Quaternary International;
339;2006;Journal of Archaeological Science;
340;1981;Current Anthropology;
341;1982;1er Congrès international de la paléontologie humaine;
342;2010;Journal of Human Evolution;
343;2007;The South African Archaeological Bulletin;
344;2008;Journal of Human Evolution;
345;2009;The South African Archaeological Bulletin;
346;2010;Quaternary International;
347;2010;Journal of Archaeological Science;
348;1959;The South African Archaeological Bulletin;
349;1999;Journal of Human Evolution;
350;1981;Nature;
351;2010;Journal of Human Evolution;
352;1994;Journal of Field Archaeology;
353;2000;Southern African Field Archaeology;
354;2007;Nyame Akuma;
356;2010;Journal of Human Evolution;
357;1971;The South African Archaeological Bulletin;
358;2010;Journal of Human Evolution;
359;2009;Journal of Archaeological Science;
360;1968;The Middle Stone Age Industries of the Orange River Scheme Area;
361;1986;Journal of Human Evolution;
362;2008;Journal of Archaeological Science;
363;1987;Journal of Human Evolution;
364;2007;Journal of Archaeological Science;
365;1993;Current Anthropology;
366;2010;Journal of Archaeological Science;
367;1991;African Archaeological Review;
368;1979;Quaternary Research;
369;2000;Journal of Human Evolution;
370;1985;Journal of Archaeological Science;
371;1985;Journal of Archaeological Science;
372;1967;Radiocarbon;
373;2010;Journal of Human Evolution;
374;1972;Cimbebasia, Series B;
375;2008;Prepared Core Reduction Strategies at Kudu Koppie and the Modern Human Behaviour Debate;
376;1985;World Archaeology;
377;2002;Journal of Archaeological Science;
378;1990;American Anthropologist;
379;1982;Palaeoecology of Africa: Southern African Society for Quaternary Research;
380;1971;American Anthropologist;
381;2005;From Tool to Symbols: From Early Homininds to Moderns Humans;
382;1988;Cave of Hearths, Makapansgat, Transvaal;
384;2010;Journal of Archaeological Science;
385;2008;Journal of Archaeological Science;
386;2003;South African Journal of Science;
387;1974;The Geology, Archaeology and Fossil Mammals of the Cornelia Beds, O.F.S;
388;1993;Swartkrans: A Cave's Chronicle of Early Man;
389;2000;South African Journal of Science;
390;2005;Middle Stone Age Lithic Study, South Africa: An Examination of Modern Human Origins;
391;2009;Journal of Human Evolution;
392;1978;Science;
393;1969;Kalambo Falls Prehistoric Site, Vol. I: The Geology, Palaeoecology and Detailed Stratigraphy of the Excavations;
394;2001;Kalambo Falls Prehistoric Site, Vol. III: The Earlier Cultures: Middle and Earlier Stone Age;
395;1978;Science;
396;1976;Nature;
397;2010;Journal of Archaeological Science;
398;1996;African Archaeological Review;
399;2006;Southern African Humanities;
400;2006;Southern African Humanities;
401;2006;Southern African Humanities;
402;1992;South African Journal of Science;
403;2009;Antiquity;
404;1954;The South African Archaeological Bulletin;
405;1964;The South African Archaeological Bulletin;
408;1983;American Journal of Physical Anthropology;
409;2002;Nature;
410;1970;Nature;
411;1985;Nature;
412;2002;Journal of Archaeological Science;
413;1985;Ancestors: The Hard Evidence;
414;2009;Anthropological Science;
415;2000;American Journal of Physical Anthropology;
416;1976;The South African Archaeological Bulletin;
417;1990;Journal of Geophysical Research;
418;1978;Science;
419;1976;Nature;
420;1993;L'Anthropologie;
421;2004;Journal of Human Evolution;
422;1978;Science;
423;2001;Journal of Human Evolution;
424;2002;Science;
425;1972;Nature;
426;1977;Olorgesailie: Archeological Studies of a Middle Pleistocene Lake Basin in Kenya;
428;2005;Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz;
429;1993;Newsletters on Stratigraphy;
430;1982;Nature;
431;1980;Palaeogeography, Palaeoclimatology, Palaeoecology;
432;2008;Geological Society of America Special Papers;
433;1985;Geological Society of America Bulletin;
434;2006;Journal of the Geological Society;
435;1985;Nature;
436;1989;Journal of Human Evolution;
437;1994;Journal of Human Evolution;
438;2003;Comptes Rendus Palevol;
439;2005;Journal of Human Evolution;
441;2005;Geological Magazine;
442;1999;Nature;
443;2007;The Last Human: A Guide to Twenty-Two Species of Extinct Humans;
444;2003;Nature;
447;1997;Journal of Field Archaeology;
449;2000;The Middle Stone Age of Zambia, South Central Africa;
450;2000;The Middle Stone Age of Zambia, South Central Africa;
451;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
452;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
453;1999;Human Beginnings in South Africa;
454;1980;Proceedings of the 8th Panafrican Congress of Prehistory and Quaternary Studies;
455;1991;Journal of Human Evolution;
456;1972;Calibration of Hominoid Evolution;
458;1954;The South African Archaeological Bulletin;
459;2004;Current Anthropology;
460;2002;The Archaeology of Southern Africa;
461;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
462;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
463;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
464;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
465;1982;The South African Archaeological Bulletin;
466;2006;Comptes Rendus Palevol;
467;1972;The Stone Age Industries of the Orange River Scheme and South Africa;
468;2010;Proceedings of the National Academy of Sciences of the United States of America;
469;2010;Middle Awash Fossil Database;
472;1998;Journal of Archaeological Science;
473;2008;Journal of Human Evolution;
474;1969;Nature;
475;1969;Nature;
476;2007;Journal of Human Evolution;
477;2004;Die Freilandfundstellen von Geelbek und Anyskop in Südafrika: das Siedlungsverhalten während des Middle Stone Age;
478;2005;Journal of Human Evolution;
479;2008;Journal of Human Evolution;
480;1980;Journal of Human Evolution;
481;1993;Transactions of the American Philosophical Society;
482;2005;Nature;
483;2008;Journal of Human Evolution;
484;2004;Geological Society of America Bulletin;
485;2005;Journal of Human Evolution;
486;1982;Annals of the South African Museum;
487;1984;Journal of the South West Africa Scientific Society;
488;1995;Paleoclimate and Evolution with Emphasis on Human Origins;
489;2003;Palaeogeography, Palaeoclimatology, Palaeoecology;
490;1987;Papers in the Prehistory of the Western Cape, South Africa;
491;1993;Palaeontologia Africana;
492;2003;South African Journal of Science;
493;1986;Contributions in Science;
494;1981;The Hunters or the Hunted? An Introduction to African Cave Taphonomy;
497;1999;African Biogeography, Climate Change & Human Evolution;
498;1991;Koobi Fora Research Project, Vol. 3: The Fossil Ungulates: Geology, Fossil Artiodactyls, and Paleoenvironments;
499;1959;The Journal of the Anthropological Institute of Great Britain and Ireland;
500;1974;Kalambo Falls Prehistoric Site, Vol. II: The Later Prehistoric Cultures;
501;1979;The South African Archaeological Bulletin;
502;1994;South African Journal of Science;
503;1963;African Ecology and Human Evolution;
504;1962;Prehistory of the Transvaal;
505;1990;Implications paléoécologiques et paléobiogéographiques de l'étude de rongeurs Plio-Pléistocènes d'Afrique orientale et australe;
506;2004;Studies on the Early Paleolithic site of Melka Kunture, Ethiopia;
507;1988;Contributions in Science;
508;1997;Plio-Pleistocene Archaeology;
509;1995;American Journal of Physical Anthropology;
510;1990;Natal Museum Journal of Humanities;
511;1972;Quaternary Research;
512;1976;The South African Archaeological Bulletin;
513;1977;The South African Archaeological Bulletin;
514;1978;The South African Archaeological Bulletin;
515;1999;Journal of Human Evolution;
516;1987;Papers in the Prehistory of the Western Cape, South Africa;
517;2000;Journal of Human Evolution;
518;2004;Rivista Italiana di Paleontologia e Stratigrafia;
519;2005;Journal of Human Evolution;
520;1981;The South African Archaeological Bulletin;
521;2004;South African Journal of Science;
522;1992;The South African Archaeological Bulletin;
523;1987;Papers in the Prehistory of the Western Cape, South Africa;
524;1979;The South African Archaeological Bulletin;
525;1988;Journal of Archaeological Science;
526;1995;Paleoclimate and Evolution with Emphasis on Human Origins;
527;1993;The Nariokotome Homo Erectus Skeleton;
528;1979;Nature;
529;2004;Rivista Italiana di Paleontologia e Stratigrafia;
530;2000;Acta Archaelogica Sinica;
531;1994;Journal of Human Evolution;
532;2004;Settlement Dynamics of the Middle Palaeolithic and Middle Stone Age, Vol. II;
533;2005;Journal of Human Evolution;
534;2007;Journal of Human Evolution;
535;2000;Journal of Archaeological Science;
536;1997;Nature;
537;2003;Journal of Human Evolution;
538;2005;Journal of Human Evolution;
539;1942;Transactions of the Royal Society of South Africa;
540;2008;Journal of Human Evolution;
541;1994;Quaternary Research;
542;1984;Journal of Vertebrate Paleontology;
544;2002;Journal of Human Evolution;
545;2002;Current Anthropology;
546;2009;Journal of Human Evolution;
547;1983;Koobi Fora Research Project, Vol. 2: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae;
548;1991;Koobi Fora Research Project, Vol. 3: The Fossil Ungulates: Geology, Fossil Artiodactyls, and Paleoenvironments;
549;1992;Nature;
550;1980;Journal de Physique Lettres;
551;1992;Bulletin de la Société Préhistorique Française;
552;2001;La Terra degli Elefanti - The World of Elephants;
553;1995;Journal of Human Evolution;
554;1978;Geological Society, London, Special Publications;
555;1986;African Archaeological Review;
556;1984;Current Anthropology;
557;2001;La Terra degli Elefanti - The World of Elephants;
558;1984;Comptes Rendus de l'Académie des Sciences, Serié II;
559;2002;Journal of Human Evolution;
560;1981;Nature;
561;2009;Comptes Rendus Palevol;
562;2000;Quaternary Science Reviews;
563;1999;Journal of Human Evolution;
564;2005;Palaeogeography, Palaeoclimatology, Palaeoecology;
565;2010;Quaternary Science Reviews;
566;1997;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
567;1993;The Evolution of Homo Erectus: Comparative Anatomical Studies of an Extinct Human Species;
568;1999;Comptes Rendus de l'Académie des Sciences - Series IIA - Earth and Planetary Science;
569;1992;Journal of Human Evolution;
570;1997;Nature;
571;2003;Journal of Vertebrate Paleontology;
572;2002;Journal of Human Evolution;
573;2006;Quaternary Research;
574;1975;Nature;
575;1983;African Archaeological Review;
576;1992;Journal of Human Evolution;
577;2008;The Geology of Early Humans in the Horn of Africa;
578;2010;Journal of Human Evolution;
579;2010;Journal of Human Evolution;
580;2010;Journal of Human Evolution;
581;2010;Journal of Human Evolution;
582;2010;Journal of Human Evolution;
583;2010;Journal of Human Evolution;
584;2010;Journal of Human Evolution;
585;2010;Journal of Human Evolution;
586;2010;Journal of Human Evolution;
587;2010;Journal of Human Evolution;
588;2010;Journal of Human Evolution;
589;2010;Journal of Human Evolution;
590;2010;Journal of Human Evolution;
591;1983;Journal of Archaeological Science;
592;1989;Florisbad and #Gi: The Contribution of Open-Air Sites to Study of the Middle Stone Age in Southern Africa;
593;1978;Occasional Papers of the National Museums and Monuments of Rhodesia;
594;2003;Multiple Approaches to the Study of Bifacial Technologies;
596;1988;Sehonghong: The Middle and Later Stone Age Industrial Sequence at a Lesotho Rock-Shelter;
597;2000;The Acheulean and the Plio-Pleistocene Deposits of the Middle Awash Valley Ethiopia;
598;2008;Journal of Archaeological Science;
599;2008;Journal of Archaeological Science;
600;2009;History and Selection in the Late Pleistocene Archaeology of the Western Cape, South Africa;
601;2010;Journal of Archaeological Science;
602;2003;Paléontologie Humaine et Préhistoire;
603;2006;Journal of Anthropological Archaeology;
604;2007;Mitteilungen der Gesellschaft für Urgeschichte;
605;2003;Paléontologie Humaine et Préhistoire;
607;2006;Actes du XIVème Congrès UISPP: Université de Liège, Belgique, 2-8 septembre 2001, Section 15 - African Prehistory;
610;2002;American Journal of Physical Anthropology;
611;1995;Journal of Human Evolution;
612;1977;American Journal of Physical Anthropology;
613;1954;The South African Archaeological Bulletin;
614;1971;Naturwissenschaften - The Science of Nature;
615;1983;The Omo Group: Archives of the International Omo Research Expedition;
616;1999;Journal of Human Evolution;
617;1986;Geological Society, London, Special Publications;
618;1975;Geological Society of America Bulletin;
619;1943;Journal of the East African and Uganda Natural History Society;
620;1988;World Archaeology;
621;1979;World Archaeology;
622;2008;Geology;
623;1996;Quaternary International;
624;1990;The South African Archaeological Bulletin;
625;2007;Journal of African Archaeology;
626;1981;The South African Archaeological Bulletin;
627;1996;American Journal of Physical Anthropology;
628;1999;American Journal of Physical Anthropology;
629;2007;Hominin Environments in the East African Pliocene: An Assessment of the Faunal Evidence;
630;1994;Nature;
631;1978;Geological Background to Fossil Man: Recent Research in the Gregory Rift Valley, East Africa;
632;1978;Geological Background to Fossil Man: Recent Research in the Gregory Rift Valley, East Africa;
633;1991;Cultural Beginnings: Approaches to Understanding Early Hominid Lifeways in the African Savannah;
634;2007;African Archaeological Review;
637;1991;Cultural Beginnings: Approaches to Understanding Early Hominid Lifeways in the African Savannah;
638;1994;African Archaeological Review;
639;1977;Azania;
640;1989;Later Quaternary Archaeological Sequences in Northern Tanzania;
643;2004;Geobios;
644;1974;Memoirs van die Nasionale Museum;
646;1984;The South African Archaeological Bulletin;
647;1925;Nature;
648;2010;Journal of Human Evolution;
649;1988;Journal of Human Evolution;
653;2008;Journal of Human Evolution;
654;2005;Geological Society, London, Special Publications;
655;1990;Comptes Rendus de l'Académie des Sciences, Serié II;
656;2002;Journal of Human Evolution;
657;1979;Les Vertébrés Villafranchiens d'Afrique du Nord;
658;2006;Comptes Rendus Palevol;
659;1997;Geobios;
660;1993;Geobios;
661;1996;Paläontologische Zeitschrift;
662;2002;Journal of Human Evolution;
663;2004;Journal of Archaeological Science;
664;1999;Palaeogeography, Palaeoclimatology, Palaeoecology;
665;1972;Science;
666;2010;Records of the Australian Museum;
667;1992;Comptes Rendus de l'Académie des Sciences, Serié II;
668;1956;Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences;
669;1998;Geobios;
670;2005;Annali dell'Università degli Studi di Ferrara, Museologia Scientifica e Naturalistica;
671;2004;Palaios;
672;2009;Journal of Archaeological Science;
673;2007;Journal of Human Evolution;
675;2009;Early Acheulean in the Vaal River Basin, Rietputs Formation, Northern Cape Province, South Africa;
676;1967;The South African Archaeological Bulletin;
677;1986;The South African Archaeological Bulletin;
678;2002;Antiquity;
679;2005;PaleoAnthropology;
680;2006;Southern African Humanities;
681;2011;Journal of Human Evolution;
682;1973;Nature;
683;1978;Annales d'Ethiopie;
684;1929;Annals of the South African Museum;
685;2007;Late Earlier Stone Age Sites in the Mapungubwe National Park, South Africa: A Technological Study;
686;2007;Journal of Archaeological Science;
687;2005;African Archaeological Review;
689;1974;A Middle Stone Age Sequence from the Central Rift Valley, Ethiopia;
690;1997;Journal of Human Evolution;
691;1992;Journal of Human Evolution;
692;2010;Mitteilungen aus dem Hamburgischen Zoologischen Museum und Institut;
693;1945;Transactions of the Royal Society of South Africa;
694;1992;The Digging Stick;
695;1947;The South African Archaeological Bulletin;
698;2008;African Archaeological Review;
699;2006;Antiquity;
700;1975;Nature;
701;1976;Nature;
702;1995;Quaternaire;
704;1995;Nyame Akuma;
705;2004;Journal of Anthropological Research;
706;2006;Journal of Human Evolution;
707;1996;Journal of Human Evolution;
708;2009;Quaternary Geochronology;
709;2008;African Archaeological Review;
710;2007;Anthropological Science;
711;2001;BioScience;
713;2002;The Acheulian Site of Gesher Benot Ya'aqov, Israel, Vol. 1. The Wood Assemblage;
714;1992;Geoarchaeology;
717;1978;Science;
718;2004;Proceedings of the National Academy of Sciences of the United States of America;
719;1992;Journal of Human Evolution;
720;1976;Science;
722;1993;The Holocene;
723;1974;Paléorient;
725;2002;Geobios;
727;2002;Quaternaire;
728;1994;Quaternary Research;
729;1992;Palaeogeography, Palaeoclimatology, Palaeoecology;
730;2011;Quaternary Science Reviews;
732;1970;Archives du Muséum d'Histoire Naturelle;
733;1969;Quaternaria;
734;2001;Palaeogeography, Palaeoclimatology, Palaeoecology;
735;1984;Courier Forschungsinstitut Senckenberg;
736;1933;Wetenschappelijke Mededelingen Dienst van den Mijnbouw in Nederlandsch-Indië;
737;1911;Die Pithecanthropus-Schichten auf Java: Geologische und Paläontologische Ergebnisse der Trinil-Expedition;
738;2001;Origine Des Peuplements et Chronologie des Cultures Paléolithiques dans le Sud-Est Asiatique;
740;1987;Human Evolution;
741;2005;Revue de Paléobiologie;
742;2007;Journal of Human Evolution;
743;2000;The Middle Stone Age of Zambia, South Central Africa;
747;1996;Interregional Contacts in the Later Prehistory of Northeastern Africa;
