assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
Abri Caminade Est Unit G Archaeological Assemblage;miscellaneous finds, organic tools, raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit M1 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit M2 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Est Unit M3 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Ouest Unit C Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Caminade Ouest Unit E Archaeological Assemblage;raw material, technology, typology;Europe;Abri Caminade;1.248703;44.868487;
Abri Castanet Exc. Peyrony Unit A Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Exc. Peyrony Unit A fauna;animal remains, paleofauna;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Exc. Peyrony Unit C Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Exc. Peyrony Unit C fauna;animal remains, paleofauna;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Exc. Peyrony Unit C microfauna;animal remains, paleofauna;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Northern Sector Unit II Archaeological Assemblage;symbolic artifacts;Europe;Abri Castanet;1.101332;44.999663;
Abri Castanet Southern Sector Unit I Archaeological Assemblage;raw material, technology, typology;Europe;Abri Castanet;1.101332;44.999663;
Abri Cellier Unit A Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Cellier;1.053517;44.992153;
Abri Cellier Unit A fauna;animal remains, paleofauna;Europe;Abri Cellier;1.053517;44.992153;
Abri Cellier Unit C Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Cellier;1.053517;44.992153;
Abri Cellier Unit C fauna;animal remains, paleofauna;Europe;Abri Cellier;1.053517;44.992153;
Abri Chadourne Unit A Archaeological Assemblage;raw material, technology, typology;Europe;Abri Chadourne;1.01614;44.936467;
Abri Chadourne Unit A-B Archaeological Assemblage;raw material, technology, typology;Europe;Abri Chadourne;1.01614;44.936467;
Abri Chadourne Unit B Archaeological Assemblage;raw material, technology, typology;Europe;Abri Chadourne;1.01614;44.936467;
Abri Chadourne Unit C Archaeological Assemblage;organic tools, raw material, technology, typology;Europe;Abri Chadourne;1.01614;44.936467;
Abri Chadourne Unit D Archaeological Assemblage;raw material, technology, typology;Europe;Abri Chadourne;1.01614;44.936467;
AH m assemblage;raw material, technology, typology;Europe;Abri I am Schulerloch;11.816944;48.927778;
AH o assemblage;raw material, technology, typology;Europe;Abri I am Schulerloch;11.816944;48.927778;
AH u assemblage;raw material, technology, typology;Europe;Abri I am Schulerloch;11.816944;48.927778;
Abri Labattut Unit 2 Archaeological Assemblage;raw material, symbolic artifacts, technology, typology;Europe;Abri Labattut;1.100449;45.000359;
Abri Labattut Unit 3 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Labattut;1.100449;45.000359;
Abri Pataud Eboulis 10/11 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 10/11 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 11/12 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 11/12 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 12/13 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 12/13 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 13/14 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 13/14 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 3/4 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 5/6 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 6/7 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 6/7 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 7/8 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 8/9 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Eboulis 9/10 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Exc. 2005-08 Level 2 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 10 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 10 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 11 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 11 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 12 Archaeological Assemblage;feature, raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 12 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 13 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 13 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 14 Archaeological Assemblage;feature, raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 14 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 Archaeological Assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 1 (P1);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 10 (PX20);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 11 (PX21);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 12 (PX22);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 13 (PX23);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 14 (PX24);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 2 (P2);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 3 (P3);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 4 (P4);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 5 (P5);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 6 (P6);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 7 (PX17);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 8 (PX18);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 9 (PX19);human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 3 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 3 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 1;human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 2;human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 3;human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 Archaeological Assemblage;miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 human remains 1;human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 human remains 2;human remains;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 6 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 6 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 Lower Archaeological Assemblage;feature, raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 Upper Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 8 and Eboulis 8/9 Archaeological Assemblage;feature, raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 8 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 9 and Eboulis 9/10 Archaeological Assemblage;raw material, technology, typology;Europe;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 9 fauna;paleofauna;Europe;Abri Pataud;1.012781;44.936947;
Mousterian (lithics);raw material, technology, typology;Europe;Abri Pié Lombard;7.047115;43.700453;
Cro-Magnon 1;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 2;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 3;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 4;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-1;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-2;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-3;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-4;human remains;Europe;Abri de Cro-Magnon;1.009982;44.940108;
Chancelade man;human remains;Europe;Abri de Raymonden;0.673611;45.206944;
Abri du Facteur Unit 10 Fauna;animal remains, paleofauna;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 10-11 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 15 Archaeological Assemblage;feature, raw material, symbolic artifacts, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 15 Fauna;animal remains, paleofauna;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 16 & 17 Fauna;animal remains, paleofauna;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 16 Archaeological Assemblage;raw material, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 17 Archaeological Assemblage;feature, miscellaneous finds, raw material, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 19 Archaeological Assemblage;feature, organic tools, raw material, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 19 Fauna;animal remains, paleofauna;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 21 Archaeological Assemblage;feature, organic tools, raw material, technology, typology;Europe;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 21 Fauna;animal remains, paleofauna;Europe;Abri du Facteur;1.055363;44.977295;
level 4.1;organic tools, raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
level 4.2;miscellaneous finds, raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
level 5;organic tools;Europe;Abri du Maras;4.562827;44.312026;
niveau 1;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 2;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 3;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 4;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 5;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 6;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 7;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
niveau 8;raw material, technology, typology;Europe;Abri du Maras;4.562827;44.312026;
Loess ancien inf., Avifauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien inf., Fauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien inf., Malacofauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien inf., Micromammals;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien moyen, Avifauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien moyen, Fauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien moyen, Malacofauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien moyen, Micromammals;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien sup., Avifauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien sup., Fauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess ancien sup., Micromammals;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess recent, Fauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess recent, Malacofauna;paleofauna;Europe;Achenheim;7.624766;48.578703;
Loess recent, Micromammals;paleofauna;Europe;Achenheim;7.624766;48.578703;
level 14 (Wernert);raw material, technology, typology;Europe;Achenheim;7.624766;48.578703;
level 15 (Wernert);technology, typology;Europe;Achenheim;7.624766;48.578703;
level 16 (Wernert);raw material, technology, typology;Europe;Achenheim;7.624766;48.578703;
level 17 (Wernert);technology, typology;Europe;Achenheim;7.624766;48.578703;
level 17a (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 18 (Wernert);raw material, technology, typology;Europe;Achenheim;7.624766;48.578703;
level 19 (Wernert);raw material, technology, typology;Europe;Achenheim;7.624766;48.578703;
level 20 (Wernert);raw material, technology, typology;Europe;Achenheim;7.624766;48.578703;
level 20(I) (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 20(II) (Wernert);raw material, typology;Europe;Achenheim;7.624766;48.578703;
level 20(III) (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 20a (Wernert);technology, typology;Europe;Achenheim;7.624766;48.578703;
level 20b (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 20c (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 20e (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
level 8 (Wernert);raw material, typology;Europe;Achenheim;7.624766;48.578703;
level 9 (Wernert);typology;Europe;Achenheim;7.624766;48.578703;
pollen sample A;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample B;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample C;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample D;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample E;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample F;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample G;plant remains;Europe;Achenheim;7.624766;48.578703;
pollen sample H;plant remains;Europe;Achenheim;7.624766;48.578703;
Adrar Bous Eolian Sands S110 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S112-116 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S123 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S139 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S140 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S144 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S52 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S89 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S142 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S146 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S151 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S157 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S120 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S133/S144 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S161 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S162 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S57 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S63 Archaeological Assemblage;raw material, technology, typology;Africa;Adrar Bous;8.95;20.3;
AG II human remains 1;human remains;Asia;Afontova Gora II;92.82278;56.01083;
AG II human remains 2;human remains;Asia;Afontova Gora II;92.82278;56.01083;
AG II human remains 3;human remains;Asia;Afontova Gora II;92.82278;56.01083;
AG II human remains 4;human remains;Asia;Afontova Gora II;92.82278;56.01083;
B1-B2 horizon archaeological assemblage;;Asia;Afontova Gora II;92.82278;56.01083;
C1-C2 horizon archaeological assemblage;;Asia;Afontova Gora II;92.82278;56.01083;
C3 horizon archaeological assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Asia;Afontova Gora II;92.82278;56.01083;
Aggsbach_Fundstelle A assemblage;feature, miscellaneous finds, raw material, technology, typology;Europe;Aggsbach_Fundstelle A;15.400185;48.29323;
Aggsbach_Fundstelle B assemblage AH I;organic tools, raw material, technology, typology;Europe;Aggsbach_Fundstelle B;15.400185;48.29323;
Aggsbach_Fundstelle B assemblage AH II;feature, human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Aggsbach_Fundstelle B;15.400185;48.29323;
Agh-1/a;plant remains;Asia;Aghitu-1;46.080093;39.523528;
Agh-2/a-1;plant remains;Asia;Aghitu-2;46.068284;39.513793;
Agh-2/a-2;plant remains;Asia;Aghitu-2;46.068284;39.513793;
Agh-2/b;plant remains;Asia;Aghitu-2;46.068284;39.513793;
AH III assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Asia;Aghitu-3 Cave;46.082183;39.513732;
AH IV assemblage;raw material, technology, typology;Asia;Aghitu-3 Cave;46.082183;39.513732;
AH V assemblage;raw material, technology, typology;Asia;Aghitu-3 Cave;46.082183;39.513732;
AH VI assemblage;feature, raw material, technology, typology;Asia;Aghitu-3 Cave;46.082183;39.513732;
AH VII assemblage;raw material, technology, typology;Asia;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH III;animal remains, paleofauna;Asia;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH IV;animal remains, paleofauna;Asia;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH V;animal remains, paleofauna;Asia;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH VI;animal remains, paleofauna;Asia;Aghitu-3 Cave;46.082183;39.513732;
Aghitu-3 Cave Fauna Layer AH VII;animal remains, paleofauna;Asia;Aghitu-3 Cave;46.082183;39.513732;
Ahl al Oughlam Fauna;paleofauna;Africa;Ahl al Oughlam;-7.511869;33.568211;
Aterian inventar;raw material, technology, typology;Africa;Ain Aghbal;-1.8731;34.7181;
Ain Boucherit AB-Lw Archaeolgocial Assemblage;raw material, technology, typology;Africa;Ain Boucherit;5.6529;36.2045;
Ain Boucherit AB-Up Archaeological Assemblage;raw material, technology, typology;Africa;Ain Boucherit;5.6529;36.2045;
Ain Boucherit Member P Faunal Remains;paleofauna;Africa;Ain Boucherit;5.6529;36.2045;
Ain Brimba Fauna;paleofauna;Africa;Ain Brimba;8.5825;33.427;
AH 0 assemblage;raw material, technology, typology;Asia;Ain Dabbour;36.6403;33.9918;
AH I assemblage;raw material, technology, typology;Asia;Ain Dabbour;36.6403;33.9918;
AH II assemblage;raw material, symbolic artifacts, technology, typology;Asia;Ain Dabbour;36.6403;33.9918;
AH IIa assemblage;raw material, technology, typology;Asia;Ain Dabbour;36.6403;33.9918;
AH Ia assemblage;raw material, technology, typology;Asia;Ain Dabbour;36.6403;33.9918;
Ain Difla Higher Terrace Test A Artefacts;feature, raw material, technology, typology;Asia;Ain Difla;35.811252;30.902628;
Ain El Guettar Test Pits S1/S2 Archaeological Assemblage;function, raw material, technology, typology;Africa;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 16+17 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 4 Archaeologial Surface Collection;raw material, technology, typology;Africa;Ain El Guettar;9.5825;34.6597;
Ain El Guettar Unit 4 Archaeological Assemblage;raw material, technology, typology;Africa;Ain El Guettar;9.5825;34.6597;
Ain Fritissa Unstratified Acheulean Assemblage;raw material, technology, typology;Africa;Ain Fritissa;-3.551031;33.618288;
Ain Fritissa Unstratified Aterian Assemblage;raw material, technology, typology;Africa;Ain Fritissa;-3.551031;33.618288;
Ain Hanech Fauna;paleofauna;Africa;Ain Hanech;5.6549;36.2053;
Arambourgs inventar;raw material, technology, typology;Africa;Ain Hanech;5.6549;36.2053;
Layer A;raw material, technology, typology;Africa;Ain Hanech;5.6549;36.2053;
Layer B;function, raw material, technology, typology;Africa;Ain Hanech;5.6549;36.2053;
Layer C;raw material, technology, typology;Africa;Ain Hanech;5.6549;36.2053;
Ain Jourdel Fauna;paleofauna;Africa;Ain Jourdel;;;
Ain Maarouf Fauna;paleofauna;Africa;Ain Maarouf;-5.35;33.6333;
Ain Maarouf human remains 01;human remains;Africa;Ain Maarouf;-5.35;33.6333;
Ain Mara Middle Paleolithic Layer Archaeology;raw material, technology, typology;Africa;Ain Mara;;;
level I lithic;raw material, technology, typology;Africa;Ain Oum Henda 2;9.4;34.7167;
level II lithic;raw material, technology, typology;Africa;Ain Oum Henda 2;9.4;34.7167;
surface collection;raw material, technology, typology;Africa;Ain Oum Henda 2;9.4;34.7167;
Ain al-Buhira Test H+I Layer 1 Artefacts;raw material, technology, typology;Asia;Ain al-Buhira;35.921083;30.851103;
Airport Site Unit 2-5 Archaeological Assemblage;raw material, technology, typology;Africa;Airport site;33.89361;-9.95416;
Akhalkalaki fauna;paleofauna;Asia;Akhalkalaki;43.486111;41.405556;
Cultural layer B archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer C archaeological assemblage;feature, raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer D archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer E archaeological assemblage;feature, raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer F archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer G archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer H archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer I archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer K archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer L archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer M archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
Cultural layer N archaeological assemblage;raw material, technology, typology;Asia;Al-Guza;48.292943;15.21156;
LSA microblade assemblage;raw material, technology, typology;Africa;Aladi Springs;40.9166667;9.3833333;
MSA assemblage;raw material, technology, typology;Africa;Aladi Springs;40.9166667;9.3833333;
Alberndorf I Fauna;animal remains, paleofauna;Europe;Alberndorf I;16.112169;48.683372;
Alberndorf I, AH 1;raw material, technology, typology, symbolic artifacts, organic tools;Europe;Alberndorf I;16.112169;48.683372;
Aleska_flora;plant remains;Europe;Aleska;29.617217;54.684698;
Plus 12m lake, section A, Layer 2;raw material, technology, typology;Africa;Alexandersfontein;24.770994;-28.837218;
Plus 19m lake, section A, Layer 1;raw material, technology, typology;Africa;Alexandersfontein;24.770994;-28.837218;
Plus 19m lake, section B, Layer 1;raw material, technology, typology;Africa;Alexandersfontein;24.770994;-28.837218;
